Compound;InChIKey;SMILES;RT;LAB;DrugClass;1;2;3;4;5;Mean RT;SD;Error;Set;RT error window
MAM-2201;IGBHZHCGWLHBAE-UHFFFAOYSA-N;O=C(C1=CN(CCCCCF)C2=C1C=CC=C2)C3=C4C=CC=CC4=C(C)C=C3;9.91;CFSRE;Cannabinoids;10.23;9.98;10.28;10.19;10.00;10.14;0.14;0.23;Optimization;± 0.5 min
MAM-2201 N-(5-Chloropentyl) Analogue;MGKPPIQCXPTZFK-UHFFFAOYSA-N;O=C(C1=CN(CCCCCCl)C2=C1C=CC=C2)C3=C4C=CC=CC4=C(C)C=C3;10.35;CFSRE;Cannabinoids;10.56;10.34;10.60;10.58;10.37;10.49;0.12;0.14;Train;± 0.5 min
MBDB;USWVWJSAJAEEHQ-UHFFFAOYSA-N;CCC(NC)CC1=CC=C(OCO2)C2=C1;4.65;CFSRE;Phenethylamines;5.50;5.89;5.51;5.65;5.43;5.60;0.18;0.95;Train;0.5 to 1 min
MCHB-1;WRVZBXHTUOPQJS-UHFFFAOYSA-N;O=C(C1=CC=C2C(N=C(CC3=CC=C(OCC)C=C3)N2CC4CCCCC4)=C1)N(CC)CC;9.8;CFSRE;Cannabinoids;9.26;10.00;10.49;10.31;9.57;9.93;0.51;0.13;Validation;± 0.5 min
MDA;NGBBVGZWCFBOGO-UHFFFAOYSA-N;CC(N)CC1=CC=C(OCO2)C2=C1;3.83;CFSRE;Phenethylamines;4.55;4.75;4.54;4.57;4.11;4.50;0.24;0.67;Test;0.5 to 1 min
MDA 77;BUSVEUMKIXHTKG-UHFFFAOYSA-N;CCCCCN1C(=O)C(=NN=C(O)C2=CC=CC=C2)C2=C1C=C(OC)C=C2;10.3;CFSRE;Unknown;8.85;8.10;9.91;8.59;8.13;8.71;0.74;-1.59;Test;-2 to -1 min
MDEA;PVXVWWANJIWJOO-UHFFFAOYSA-N;CC(CC1=CC(OCO2)=C2C=C1)NCC;4.34;CFSRE;Phenethylamines;5.32;5.69;5.37;5.47;5.24;5.42;0.17;1.08;Train;1 to 2 min
MDMA;SHXWCVYOXRDMCX-UHFFFAOYSA-N;CC(NC)CC1=CC=C(OCO2)C2=C1;4.01;CFSRE;Phenethylamines;4.89;5.23;4.92;4.93;4.68;4.93;0.19;0.92;Train;0.5 to 1 min
MDMB-4en-PINACA;LWOCBHBFWNGPGM-UHFFFAOYSA-N;CC(C(C(=O)OC)NC(=O)C1=NN(C2=CC=CC=C12)CCCC=C)(C)C;10.04;CFSRE;Cannabinoids;9.47;9.88;9.85;9.67;9.82;9.74;0.17;-0.30;Train;± 0.5 min
MDMB-5Br-INACA;QGEVEXPJOKFMAN-GFCCVEGCSA-N;BrC=1C=C2C(=NNC2=CC1)C(=O)NC(C(=O)OC)C(C)(C)C;9.06;CFSRE;Cannabinoids;8.42;8.66;8.98;8.41;8.49;8.59;0.24;-0.47;Train;± 0.5 min
MDMB-5Me-INACA;OBEPVZFBSIMMHX-UHFFFAOYSA-N;CC(C(C(=O)OC)NC(=O)C1=NNC2=CC=C(C=C12)C)(C)C;8.54;CFSRE;Cannabinoids;8.42;8.58;8.53;8.61;8.50;8.53;0.07;-0.01;Train;± 0.5 min
MDMB-BINACA;YHAWFWPNIXPRDT-MRXNPFEDSA-N;CCCCN1C2=CC=CC=C2C(=N1)C(=O)N[C@H](C(=O)OC)C(C)(C)C;9.94;CFSRE;Cannabinoids;9.31;9.99;9.77;9.54;9.87;9.70;0.27;-0.24;Validation;± 0.5 min
MDMB-CHMCZCA;FAWVRKNYDPKTDZ-UHFFFAOYSA-N;CC(C)(C)[C@H](NC(C1=CC2=C(C=C1)N(CC3CCCCC3)C4=C2C=CC=C4)=O)C(OC)=O;10.93;CFSRE;Cannabinoids;10.27;10.52;11.04;10.90;10.58;10.66;0.31;-0.27;Train;± 0.5 min
MDMB-CHMICA;SRJKCVHWIDFUBO-HXUWFJFHSA-N;CC(C)(C)[C@@H](C(OC)=O)NC(C1=CN(CC2CCCCC2)C3=C1C=CC=C3)=O;10.33;CFSRE;Cannabinoids;9.81;9.71;9.80;9.73;9.83;9.78;0.05;-0.55;Test;-1 to -0.5 min
MDMB-CHMINACA;DGQMLBSSRFFINY-UHFFFAOYSA-N;CC(C)(C)[C@@H](C(OC)=O)NC(C1=NN(CC2CCCCC2)C3=C1C=CC=C3)=O;10.61;CFSRE;Cannabinoids;9.71;9.69;9.73;9.74;9.81;9.74;0.04;-0.87;Train;-1 to -0.5 min
MDMB-FUBICA;RVAWIZIGOSKPBP-UHFFFAOYSA-N;CC(C)(C)C(NC(C1=CN(CC2=CC=C(F)C=C2)C3=C1C=CC=C3)=O)C(OC)=O;9.46;CFSRE;Cannabinoids;9.76;9.73;9.69;9.78;9.81;9.76;0.05;0.30;Train;± 0.5 min
MDMB-FUBICA 3,3-Dimethylbutanoic Acid;PZPKPULZRMBYJZ-LJQANCHMSA-N;CC(C)(C)[C@H](NC(C1=CN(CC2=CC=C(F)C=C2)C3=C1C=CC=C3)=O)C(O)=O;8.94;CFSRE;Cannabinoids;9.69;9.63;9.75;9.72;9.78;9.72;0.06;0.78;Train;0.5 to 1 min
MDMB-FUBINACA;RFCDVEHNYDVCMU-UHFFFAOYSA-N;CC(C)(C)[C@H](NC(C1=NN(CC2=CC=C(F)C=C2)C3=C1C=CC=C3)=O)C(OC)=O;9.66;CFSRE;Cannabinoids;9.77;9.72;9.64;9.70;9.76;9.72;0.05;0.06;Optimization;± 0.5 min
MDMB-FUBINACA 3,3-Dimethylbutanoic Acid;IYHKZKWEKNIMPG-GOSISDBHSA-N;FC1=CC=C(CN2N=C(C3=CC=CC=C23)C(=O)N[C@H](C(=O)O)C(C)(C)C)C=C1;9.19;CFSRE;Cannabinoids;9.66;9.68;9.82;9.71;9.69;9.71;0.06;0.52;Test;0.5 to 1 min
MDMB-INACA;QEXPVGIGOZJEOO-UHFFFAOYSA-N;N1N=C(C2=CC=CC=C12)C(=O)NC(C(=O)OC)C(C)(C)C;7.95;CFSRE;Cannabinoids;7.84;7.80;7.92;8.01;7.85;7.88;0.09;-0.07;Train;± 0.5 min
MDPBP;OLVLMDVPMCIBQW-UHFFFAOYSA-N;CCC(N1CCCC1)C(C2=CC=C(OCO3)C3=C2)=O;4.58;CFSRE;Cathinones;4.81;4.66;4.57;4.74;4.30;4.62;0.20;0.04;Train;± 0.5 min
MDPPP;NIYQOTCYXGXMPI-UHFFFAOYSA-N;CC(N1CCCC1)C(C2=CC(OCO3)=C3C=C2)=O;4.09;CFSRE;Cathinones;4.29;4.18;4.07;4.20;3.74;4.10;0.22;0.01;Train;± 0.5 min
MDPV;SYHGEUNFJIGTRX-UHFFFAOYSA-N;O1COC2=C1C=CC(=C2)C(C(CCC)N2CCCC2)=O;5.29;CFSRE;Cathinones;5.28;5.15;5.03;5.30;4.73;5.10;0.23;-0.19;Train;± 0.5 min
MFUBINAC;UUCUVSWGJOQWCA-UHFFFAOYSA-N;O=C(OC)C1=NN(CC2=CC=C(F)C=C2)C3=C1C=CC=C3;8.65;CFSRE;Cannabinoids;9.05;8.80;8.73;8.82;9.03;8.89;0.14;0.24;Train;± 0.5 min
MMB-018;XOVHYVWQBVNONJ-SFHVURJKSA-N;CC(C)[C@@H](C(OC)=O)NC(C1=CN(CCCCC)C2=C1C=CC=C2)=O;9.58;CFSRE;Cannabinoids;9.61;9.61;9.86;9.54;9.69;9.66;0.12;0.08;Train;± 0.5 min
MMB-2201;JFXASAFVUQVGEW-SFHVURJKSA-N;CC(C)[C@H](NC(C1=CN(CCCCCF)C2=C1C=CC=C2)=O)C(OC)=O;8.88;CFSRE;Cannabinoids;9.05;9.02;9.31;9.14;9.01;9.11;0.12;0.23;Validation;± 0.5 min
MMB-4en-PICA;RQVMOMGJHFPBNR-UHFFFAOYSA-N;CC(C(C(=O)OC)NC(=O)C1=CN(C2=CC=CC=C12)CCCC=C)C;9.26;CFSRE;Cannabinoids;9.43;9.65;9.69;9.50;9.58;9.57;0.11;0.31;Train;± 0.5 min
MMB-4en-PINACA;UJELURFNWPRFMM-UHFFFAOYSA-N;CC(C(C(=O)OC)NC(=O)C1=NN(C2=CC=CC=C12)CCCC=C)C;9.56;CFSRE;Cannabinoids;9.20;9.77;9.55;9.36;9.63;9.50;0.22;-0.06;Train;± 0.5 min
MMB-CHMICA;ROWZIXRLVUOMCJ-FQEVSTJZSA-N;C1(CCCCC1)CN1C=C(C2=CC=CC=C12)C(=O)N[C@H](C(=O)OC)C(C)C;9.96;CFSRE;Cannabinoids;9.71;9.61;9.79;9.74;9.79;9.73;0.07;-0.23;Train;± 0.5 min
MMB-FUBINACA;FRFFLYJQPCIIQB-SFHVURJKSA-N;FC1=CC=C(C=C1)CN1N=C(C2=CC=CC=C12)C(=O)N[C@H](C(=O)OC)C(C)C;9.42;CFSRE;Cannabinoids;9.64;9.74;9.68;9.54;9.80;9.68;0.10;0.26;Train;± 0.5 min
MMB-FUBINACA 3-Methylbutanoic Acid;XWTKFXNTAUXIRK-KRWDZBQOSA-N;CC(C)[C@@H](C(O)=O)NC(C1=NN(CC2=CC=C(F)C=C2)C3=C1C=CC=C3)=O;8.81;CFSRE;Cannabinoids;9.43;9.81;9.80;9.53;9.77;9.67;0.18;0.86;Optimization;0.5 to 1 min
MN-18;UJKHLVOEXULDRU-UHFFFAOYSA-N;O=C(C1=NN(CCCCC)C2=C1C=CC=C2)NC3=C4C=CC=CC4=CC=C3;10.72;CFSRE;Cannabinoids;9.88;9.73;10.25;10.02;9.92;9.96;0.19;-0.76;Optimization;-1 to -0.5 min
MN-25;VQGDMQICNRCQEH-UHFFFAOYSA-N;O=C(C1=CN(CCN2CCOCC2)C3=C1C=CC=C3OC)N[C@@H]4C(C)(C)[C@]5([H])CC[C@@]4(C)C5;8.44;CFSRE;Cannabinoids;8.74;8.64;9.35;8.32;8.67;8.74;0.37;0.30;Optimization;± 0.5 min
MN-25 2-Methyl Derivative;XWGGGOMMJKYRJR-JRLVAEJTSA-N;O=C(C1=C(C)N(CCN2CCOCC2)C3=C1C=CC=C3OC)N[C@H]4[C@@](C5)(C)CC[C@@]5([H])C4(C)C;8.76;CFSRE;Cannabinoids;8.97;8.75;9.55;8.61;8.92;8.96;0.36;0.20;Test;± 0.5 min
MO-CHMINACA;SUEOBRAXHJBVGY-UHFFFAOYSA-N;O=C(C1=NN(CC2CCCCC2)C3=C1C=CC=C3)OC(C(C)(C)C)C(OC)=O;10.76;CFSRE;Cannabinoids;10.01;9.72;10.22;10.34;10.00;10.06;0.24;-0.70;Optimization;-1 to -0.5 min
MOPPP;QJWOQBGBEFNYKB-UHFFFAOYSA-N;CC(N1CCCC1)C(C2=CC=C(OC)C=C2)=O;4.43;CFSRE;Cathinones;4.24;4.18;4.17;4.40;3.79;4.16;0.22;-0.27;Train;± 0.5 min
MPBP;NXNPGAAZKYDOPW-UHFFFAOYSA-N;CCC(N1CCCC1)C(C2=CC=C(C)C=C2)=O;5.26;CFSRE;Cathinones;5.29;5.25;5.43;5.58;5.19;5.35;0.16;0.09;Validation;± 0.5 min
MPHP;YOSQVMGMENUCDX-UHFFFAOYSA-N;CCCCC(N1CCCC1)C(C2=CC=C(C)C=C2)=O;6.47;CFSRE;Cathinones;6.40;6.49;6.57;6.72;6.37;6.51;0.14;0.04;Train;± 0.5 min
MT-45;IGBRRSIHEGCUEN-UHFFFAOYSA-N;C1(CCCCC1)N1CCN(CC1)C(CC1=CC=CC=C1)C1=CC=CC=C1;7.4;CFSRE;Opioids;7.35;7.31;7.74;7.65;7.58;7.52;0.19;0.12;Validation;± 0.5 min
MeO-MDA;YQYUWUKDEVZFDB-UHFFFAOYSA-N;COC1=CC(=CC2=C1OCO2)CC(N)C;4.31;CFSRE;Phenethylamines;4.18;4.15;4.03;4.13;4.01;4.10;0.07;-0.21;Optimization;± 0.5 min
MePPP;APSJUNFBAXIXLK-UHFFFAOYSA-N;CC(N1CCCC1)C(C2=CC=C(C)C=C2)=O;4.79;CFSRE;Cathinones;4.61;4.68;4.85;4.97;4.55;4.73;0.17;-0.06;Test;± 0.5 min
Medazepam;YLCXGBZIZBEVPZ-UHFFFAOYSA-N;ClC1=CC(C(C2=CC=CC=C2)=NCCN3C)=C3C=C1;6.4;CFSRE;Benzodiazepines;7.32;7.06;7.21;6.96;7.22;7.16;0.14;0.76;Train;0.5 to 1 min
Medetomidine;CUHVIMMYOGQXCV-UHFFFAOYSA-N;CC1=C(C)C(C(C)C2=CN=CN2)=CC=C1;5.73;CFSRE;Unknown;5.82;5.53;6.00;5.78;5.92;5.81;0.18;0.08;Train;± 0.5 min
Mephedrone;YELGFTGWJGBAQU-UHFFFAOYSA-N;CNC(C(=O)C1=CC=C(C=C1)C)C;4.27;CFSRE;Cathinones;4.03;4.03;4.07;4.13;3.79;4.01;0.13;-0.26;Test;± 0.5 min
Meprobamate;NPPQSCRMBWNHMW-UHFFFAOYSA-N;O=C(OCC(COC(=O)N)(C)CCC)N;5.66;CFSRE;Unknown;5.20;5.31;5.48;5.53;5.71;5.45;0.20;-0.21;Test;± 0.5 min
Mescaline;RHCSKNNOAZULRK-UHFFFAOYSA-N;COC1=C(OC)C(OC)=CC(CCN)=C1;3.77;CFSRE;Phenethylamines;3.81;3.81;3.58;3.74;3.58;3.70;0.12;-0.07;Train;± 0.5 min
Mesoridazine;SLVMESMUVMCQIY-UHFFFAOYSA-N;CN1CCCCC1CCN1C2=CC=CC=C2SC2=C1C=C(C=C2)S(C)=O;6.45;CFSRE;Unknown;6.67;6.44;6.63;6.60;6.65;6.60;0.09;0.15;Train;± 0.5 min
Metaxalone;IMWZZHHPURKASS-UHFFFAOYSA-N;CC1=CC(OCC2CN=C(O)O2)=CC(C)=C1;7.08;CFSRE;Unknown;8.22;7.69;7.47;6.98;6.76;7.42;0.58;0.34;Optimization;± 0.5 min
Methacrylfentanyl;YRRFMVAFZJGZNS-UHFFFAOYSA-N;C=C(C)C(N(C1=CC=CC=C1)C2CCN(CCC3=CC=CC=C3)CC2)=O;6.34;CFSRE;Opioids;6.51;6.66;6.71;6.74;6.65;6.65;0.09;0.31;Test;± 0.5 min
Methamphetamine;MYWUZJCMWCOHBA-UHFFFAOYSA-N;CNC(CC1=CC=CC=C1)C;3.82;CFSRE;Phenethylamines;3.71;3.78;3.86;3.87;3.73;3.79;0.07;-0.03;Train;± 0.5 min
Methcathinone;LPLLVINFLBSFRP-UHFFFAOYSA-N;CC(NC)C(C1=CC=CC=C1)=O;3.15;CFSRE;Cathinones;3.08;3.10;3.12;3.24;3.12;3.13;0.06;-0.02;Optimization;± 0.5 min
Methedrone;MQUIHBQDYYAEMH-UHFFFAOYSA-N;CC(NC)C(C1=CC=C(OC)C=C1)=O;3.91;CFSRE;Cathinones;3.35;3.53;3.18;3.83;2.84;3.35;0.37;-0.56;Validation;-1 to -0.5 min
Methiopropamine;HPHUWHKFQXTZPS-UHFFFAOYSA-N;S1C(=CC=C1)CC(C)NC;3.14;CFSRE;Arylalkylamines;3.08;3.09;3.07;2.89;3.10;3.05;0.09;-0.09;Train;± 0.5 min
Methoxetamine;LPKTWLVEGBNOOX-UHFFFAOYSA-N;COC=1C=C(C=CC1)C1(C(CCCC1)=O)NCC;4.97;CFSRE;Arylcyclohexylamines;4.46;4.50;4.55;4.75;4.39;4.53;0.14;-0.44;Test;± 0.5 min
Methoxpropamine;AAVOSBAXDRASAH-UHFFFAOYSA-N;COC=1C=C(C=CC1)C1(C(CCCC1)=O)NCCC;5.44;CFSRE;Arylcyclohexylamines;4.80;4.88;4.88;5.14;4.82;4.91;0.14;-0.53;Test;-1 to -0.5 min
Methoxyacetyl Fentanyl;SADNVKRDSWWFTK-UHFFFAOYSA-N;O=C(N(C1=CC=CC=C1)C2CCN(CCC3=CC=CC=C3)CC2)COC;5.66;CFSRE;Opioids;5.47;5.45;5.79;5.45;5.51;5.53;0.14;-0.13;Optimization;± 0.5 min
Methylenedioxy-PV8;APQUWEZHVKBPTI-UHFFFAOYSA-N;O1COC2=C1C=CC(=C2)C(C(CCCCC)N2CCCC2)=O;6.61;CFSRE;Cathinones;6.21;5.98;5.93;6.26;5.99;6.07;0.15;-0.54;Validation;-1 to -0.5 min
Methylenedioxynitazene;RRRJUZFZCVIDSM-UHFFFAOYSA-N;O1COC2=C1C=CC(=C2)CC2=NC1=C(N2CCN(CC)CC)C=CC(=C1)[N+](=O)[O-];5.94;CFSRE;Opioids;6.19;5.99;6.52;5.91;6.16;6.15;0.23;0.21;Test;± 0.5 min
Methylone;VKEQBMCRQDSRET-UHFFFAOYSA-N;O1COC2=C1C=CC(=C2)C(C(C)NC)=O;3.52;CFSRE;Cathinones;3.53;3.59;3.34;3.56;2.79;3.36;0.33;-0.16;Validation;± 0.5 min
Methylphenidate;DUGOZIWVEXMGBE-UHFFFAOYSA-N;O=C(OC)C(C1CCCCN1)C2=CC=CC=C2;5.05;CFSRE;Piperidines & pyrrolidines;5.32;5.19;5.27;5.34;5.25;5.27;0.06;0.22;Test;± 0.5 min
Metizolam;NQSSWDKQLVBUQN-UHFFFAOYSA-N;CCC(S1)=CC2=C1N3C(CN=C2C4=CC=CC=C4Cl)=NN=C3;7.53;CFSRE;Benzodiazepines;7.31;7.33;7.53;7.52;7.42;7.42;0.10;-0.11;Validation;± 0.5 min
Metonitazene;HNGZTLMRQTVPBH-UHFFFAOYSA-N;C(C)N(CCN1C(=NC2=C1C=CC(=C2)[N+](=O)[O-])CC2=CC=C(C=C2)OC)CC;6.07;CFSRE;Opioids;6.18;6.17;6.34;6.23;6.15;6.22;0.07;0.15;Test;± 0.5 min
Mexiletine;VLPIATFUUWWMKC-UHFFFAOYSA-N;CC(N)COC1=C(C)C=CC=C1C;5.25;CFSRE;Unknown;4.62;4.84;5.35;5.06;5.03;4.98;0.27;-0.27;Train;± 0.5 min
Midazolam;DDLIGBOFAVUZHB-UHFFFAOYSA-N;ClC1=CC=C2C(C(C3=CC=CC=C3F)=NCC4=CN=C(C)N42)=C1;6.37;CFSRE;Benzodiazepines;7.58;7.45;8.03;7.84;7.46;7.67;0.26;1.30;Test;1 to 2 min
Mitragynine;LELBFTMXCIIKKX-QVRQZEMUSA-N;COC1=CC=CC2=C1C3=C([C@@](C[C@H](/C(C(OC)=O)=C\OC)[C@H](CC)C4)([H])N4CC3)N2;6.49;CFSRE;Plants & extracts;6.42;6.80;6.25;6.73;5.87;6.41;0.38;-0.08;Optimization;± 0.5 min
Modafinil;YFGHCGITMMYXAQ-UHFFFAOYSA-N;O=C(N)CS(C(C1=CC=CC=C1)C2=CC=CC=C2)=O;6.4;CFSRE;Unknown;6.42;6.05;6.65;6.37;6.26;6.35;0.22;-0.05;Train;± 0.5 min
Morphine;BQJCRHHNABKAKU-KBQPJGBKSA-N;CN1CC[C@]23C4=C5C=CC(O)=C4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5;1.57;CFSRE;Opioids;2.94;3.23;3.07;3.07;3.06;3.07;0.10;1.50;Train;1 to 2 min
N,N-Didesmethyl U-47700;PLSITOMJRRPKDL-CHWSQXEVSA-N;[H][C@@]1(N)CCCC[C@@]1([H])N(C)C(=O)C1=CC(Cl)=C(Cl)C=C1;6.17;CFSRE;Opioids;5.81;5.72;5.21;6.15;6.01;5.78;0.36;-0.39;Validation;± 0.5 min
N,N-Diethyl Hexedrone;NENXJHRWKCXPEW-UHFFFAOYSA-N;CCCCC(N(CC)CC)C(C1=CC=CC=C1)=O;6.64;CFSRE;Cathinones;6.14;6.25;6.31;6.41;6.05;6.23;0.14;-0.41;Optimization;± 0.5 min
N,N-Dimethylpentylone;PQTJKFUXRBKONZ-UHFFFAOYSA-N;CCCC(N(C)C)C(C1=CC=C(OCO2)C2=C1)=O;5.13;CFSRE;Cathinones;4.99;4.86;4.74;4.91;4.47;4.79;0.20;-0.34;Optimization;± 0.5 min
N-Cyclohexyl Butylone;JUIRPSMGWVYMJT-UHFFFAOYSA-N;O1COC2=C1C=CC(=C2)C(C(CC)NC2CCCCC2)=O;6.2;CFSRE;Cathinones;6.10;5.86;5.87;6.20;5.69;5.94;0.21;-0.26;Test;± 0.5 min
N-Desethyl Isotonitazene;HHBRZWRJZICFRP-UHFFFAOYSA-N;C(C)NCCN1C(=NC2=C1C=CC(=C2)[N+](=O)[O-])CC2=CC=C(C=C2)OC(C)C;6.84;CFSRE;Opioids;5.83;5.87;6.00;5.70;5.59;5.79;0.16;-1.05;Validation;-2 to -1 min
N-Desmethyl U-47700;UOLMIGVJKXDEGR-ZIAGYGMSSA-N;O=C(N(C)[C@H]1[C@H](NC)CCCC1)C2=CC=C(Cl)C(Cl)=C2;6.19;CFSRE;Opioids;5.98;5.86;5.80;6.22;6.21;6.01;0.20;-0.18;Validation;± 0.5 min
N-Ethyl Hexedrone;CWNKMHIETKEBCA-UHFFFAOYSA-N;C(C)NC(C(=O)C1=CC=CC=C1)CCCC;5.81;CFSRE;Cathinones;5.64;5.77;5.91;5.98;5.59;5.78;0.17;-0.03;Train;± 0.5 min
N-Ethyl Pentedrone;QQAHEGDXEXIQPR-UHFFFAOYSA-N;CCCC(NCC)C(C1=CC=CC=C1)=O;5.06;CFSRE;Cathinones;5.13;5.26;5.44;5.46;5.11;5.28;0.16;0.22;Validation;± 0.5 min
N-Ethyl Pentylone;VERDHJIMZYXGIW-UHFFFAOYSA-N;O1COC2=C1C=CC(=C2)C(C(CCC)NCC)=O;5.26;CFSRE;Cathinones;5.19;5.09;4.93;5.12;4.68;5.00;0.21;-0.26;Test;± 0.5 min
N-Ethyl-U-47700;MEBBOQYQMHNKCI-UHFFFAOYSA-N;ClC=1C=C(C(=O)N(CC)C2C(CCCC2)N(C)C)C=CC1Cl;6.68;CFSRE;Opioids;6.38;6.44;6.61;6.56;6.57;6.51;0.10;-0.17;Train;± 0.5 min
N-Ethylbuphedrone;HEPVRDHGUWFXJS-UHFFFAOYSA-N;CCC(NCC)C(C1=CC=CC=C1)=O;4.22;CFSRE;Cathinones;4.54;4.53;4.64;4.83;4.40;4.59;0.16;0.37;Validation;± 0.5 min
N-Isopropyl Butylone;YLUWYCAYKBCHRS-UHFFFAOYSA-N;O1COC2=C1C=CC(=C2)C(C(CC)NC(C)C)=O;5.14;CFSRE;Cathinones;5.15;5.05;4.89;5.08;4.63;4.96;0.21;-0.18;Train;± 0.5 min
N-Methyl Hexylone;LNZBSVNIMBHSAG-UHFFFAOYSA-N;CCCCC(C(=O)c1ccc2c(c1)OCO2)NC;5.78;CFSRE;Cathinones;5.31;5.24;5.08;5.25;4.81;5.14;0.20;-0.64;Validation;-1 to -0.5 min
N-Methyl U-47931E;XQCGUPNNNXRBDG-UHFFFAOYSA-N;BrC1=CC=C(C(=O)N(C)[C@H]2[C@@H](CCCC2)N(C)C)C=C1;5.73;CFSRE;Opioids;5.67;5.58;5.77;5.89;5.83;5.75;0.12;0.02;Optimization;± 0.5 min
N-Phenethyl Noroxymorphone;NDHIGBQXQCVRAU-QLBRKBSLSA-N;C1C[C@]2([C@H]3CC4=C5[C@@]2(CCN3CCC6=CC=CC=C6)[C@H](C1=O)OC5=C(C=C4)O)O;5.41;CFSRE;Opioids;5.46;5.35;5.44;5.47;5.20;5.38;0.11;-0.03;Train;± 0.5 min
N-Piperidinyl Etonitazene;UMGXRAISFRUVKD-UHFFFAOYSA-N;C(C)OC1=CC=C(C=C1)CC1=NC2=C(N1CCN1CCCCC1)C=CC(=C2)[N+](=O)[O-];6.69;CFSRE;Opioids;6.77;6.68;6.89;6.68;6.65;6.74;0.10;0.05;Validation;± 0.5 min
N-Propylamphetamine;VMVXCJCVBKWYTF-UHFFFAOYSA-N;CCCC1=CC=CC=C1CC(C)N;4.97;CFSRE;Phenethylamines;4.86;4.99;5.10;5.29;4.91;5.03;0.17;0.06;Train;± 0.5 min
N-Pyrrolidino Etonitazene;LQZWZCJCEPUKCJ-UHFFFAOYSA-N;C(C)OC1=CC=C(C=C1)CC1=NC2=C(N1CCN1CCCC1)C=CC(=C2)[N+](=O)[O-];6.48;CFSRE;Opioids;6.25;6.25;6.40;6.25;6.16;6.26;0.09;-0.22;Test;± 0.5 min
N-Pyrrolidino Metonitazene;JTTDZHBAEQTIPA-UHFFFAOYSA-N;COC1=CC=C(CC2=NC3=C(N2CCN2CCCC2)C=CC(=C3)[N+](=O)[O-])C=C1;5.85;CFSRE;Opioids;5.85;5.85;6.01;5.88;5.76;5.87;0.09;0.02;Train;± 0.5 min
N-Pyrrolidino Protonitazene;KCRWXNIIXGBPID-UHFFFAOYSA-N;[N+](=O)([O-])C1=CC2=C(N(C(=N2)CC2=CC=C(C=C2)OCCC)CCN2CCCC2)C=C1;6.97;CFSRE;Opioids;6.83;6.73;6.95;6.74;6.74;6.80;0.09;-0.17;Train;± 0.5 min
N-acetyl 25I-NBOMe;WLKCOPSXQXTYQN-UHFFFAOYSA-N;CC(N(CCC1=CC(OC)=C(I)C=C1OC)CC2=CC=CC=C2OC)=O;9.63;CFSRE;Phenethylamines;9.69;9.39;9.45;9.88;9.57;9.60;0.20;-0.03;Train;± 0.5 min
N-benzyl-3,4-DMA;LFUSPXMHTMBJNP-UHFFFAOYSA-N;CC(NCC1=CC=CC=C1)CC2=CC=C(OC)C(OC)=C2;5.63;CFSRE;Phenethylamines;6.76;6.80;7.52;6.14;6.42;6.73;0.52;1.10;Test;1 to 2 min
N-butyl Pentylone;SEIQPCGGBMTHCB-UHFFFAOYSA-N;O1COC2=C1C=CC(=C2)C(C(CCC)NCCCC)=O;6.2;CFSRE;Cathinones;6.18;6.10;6.05;6.22;5.75;6.06;0.18;-0.14;Train;± 0.5 min
N-butyl hexedrone;UCYMCSGVJDYDIO-UHFFFAOYSA-N;CCCCC(NCCCC)C(C1=CC=CC=C1)=O;6.64;CFSRE;Cathinones;6.78;6.91;7.09;7.03;6.78;6.92;0.14;0.28;Test;± 0.5 min
N-ethyl Deschloroketamine;IDLSBAANXISGEI-UHFFFAOYSA-N;C(C)NC1(C(CCCC1)=O)C1=CC=CC=C1;4.5;CFSRE;Arylcyclohexylamines;4.60;4.50;4.54;4.46;4.49;4.52;0.05;0.02;Validation;± 0.5 min
N-ethyl Hexylone;YBBDXHZYADMVNJ-UHFFFAOYSA-N;O1COC2=C1C=CC(=C2)C(C(CCCC)NCC)=O;5.96;CFSRE;Cathinones;5.71;5.66;5.52;5.65;5.25;5.56;0.19;-0.40;Train;± 0.5 min
N-ethyl heptedrone;KCDBNUUMBCYCQC-UHFFFAOYSA-N;C(C)NC(C(=O)C1=CC=CC=C1)CCCCC;6.44;CFSRE;Cathinones;6.17;6.34;6.44;6.47;6.10;6.30;0.16;-0.14;Train;± 0.5 min
N-methyl Carfentanil;KKEVIELPQLXPRR-UHFFFAOYSA-N;O=C(C1(N(C2=CC=CC=C2)C(CC)=O)CCN(C)CC1)OC;5.02;CFSRE;Opioids;3.96;3.88;3.98;3.76;4.01;3.92;0.10;-1.10;Test;-2 to -1 min
N-methyl Cyclopropyl Norfentanyl;QCCRFOCZMVDDGA-UHFFFAOYSA-N;O=C(C1CC1)N(C2CCN(C)CC2)C3=CC=CC=C3;5;CFSRE;Opioids;4.49;4.84;4.74;4.67;4.76;4.70;0.13;-0.30;Validation;± 0.5 min
N-methyl Norfentanyl;PCMUWYHREXSXFM-UHFFFAOYSA-N;CCC(N(C1CCN(C)CC1)C2=CC=CC=C2)=O;4.67;CFSRE;Opioids;4.49;4.72;4.67;4.63;4.72;4.65;0.09;-0.02;Train;± 0.5 min
N-methyltryptamine;NCIKQJBVUNUXLW-UHFFFAOYSA-N;CNCCC1=CNC2=C1C=CC=C2;3.8;CFSRE;Indolalkylamines;3.60;3.85;3.87;3.73;3.62;3.73;0.12;-0.07;Train;± 0.5 min
