Compound;InChIKey;SMILES;RT;LAB;DrugClass;1;2;3;4;5;Mean RT;SD;Error;Set;RT error window
Etizolam;VMZUTJCNQWMAGF-UHFFFAOYSA-N;ClC1=CC=CC=C1C2=NCC3=NN=C(C)N3C4=C2C=C(CC)S4;7.7;CFSRE;Benzodiazepines;7.49;7.46;7.76;7.71;7.54;7.59;0.13;-0.11;Train;± 0.5 min
Etodesnitazene;BMLPNUNXHUGDOI-UHFFFAOYSA-N;C(C)OC1=CC=C(C=C1)CC1=NC2=C(N1CCN(CC)CC)C=CC=C2;4.53;CFSRE;Opioids;5.30;5.79;5.64;5.78;5.87;5.68;0.22;1.15;Validation;1 to 2 min
Eutylone;YERSNXHEOIYEGX-UHFFFAOYSA-N;O1COC2=C1C=CC(=C2)C(C(CC)NCC)=O;4.66;CFSRE;Cathinones;4.60;4.52;4.39;4.57;4.04;4.42;0.23;-0.24;Optimization;± 0.5 min
F-2201;DYMIQRSPYZCJDG-UHFFFAOYSA-N;O=C(C1=C2C=CC=CC2=C(F)C=C1)C3=CN(CCCCCF)C4=C3C=CC=C4;9.95;CFSRE;Cannabinoids;10.07;9.85;10.20;10.01;9.88;10.00;0.14;0.05;Test;± 0.5 min
FAB-144;LVJQJRUAYXVEGN-UHFFFAOYSA-N;O=C(C1=NN(CCCCCF)C2=C1C=CC=C2)C3C(C)(C)C3(C)C;10.65;CFSRE;Cannabinoids;9.13;9.15;9.60;9.55;9.25;9.34;0.22;-1.31;Validation;-2 to -1 min
FDU-NNEI;XYSIFMHZXZATQO-UHFFFAOYSA-N;O=C(C1=CN(CC2=CC=C(F)C=C2)C3=C1C=CC=C3)NC4=C5C=CC=CC5=CC=C4;9.44;CFSRE;Cannabinoids;10.03;9.82;10.14;9.90;9.79;9.94;0.15;0.50;Train;± 0.5 min
FDU-PB-22;RCEKSVIFQKKFLS-UHFFFAOYSA-N;O=C(C1=CN(CC2=CC=C(F)C=C2)C3=C1C=CC=C3)OC4=C5C=CC=CC5=CC=C4;10.44;CFSRE;Cannabinoids;10.61;10.43;11.04;10.58;10.65;10.66;0.23;0.22;Train;± 0.5 min
FUB-144;UXOFEILQVZFLRH-UHFFFAOYSA-N;FC1=CC=C(CN2C=C(C3=CC=CC=C23)C(=O)C2C(C2(C)C)(C)C)C=C1;10.29;CFSRE;Cannabinoids;9.90;9.70;10.24;10.00;9.91;9.95;0.20;-0.34;Train;± 0.5 min
FUB-AKB-48;MWBHSNBPUSKVDD-LPSAYFBNSA-N;O=C(C1=NN(CC2=CC=C(F)C=C2)C3=C1C=CC=C3)NC45CC6CC(C5)CC(C6)C4;10.81;CFSRE;Cannabinoids;9.79;9.81;10.57;10.04;10.20;10.08;0.32;-0.73;Train;-1 to -0.5 min
FUB-JWH-018;VREQTLWJHFQLEX-UHFFFAOYSA-N;O=C(C1=CC=CC2=C1C=CC=C2)C3=CN(CC4=CC=C(F)C=C4)C5=CC=CC=C53;9.91;CFSRE;Cannabinoids;10.31;10.08;10.48;10.23;10.10;10.24;0.16;0.33;Optimization;± 0.5 min
