Compound Name,SMILES,RT,Adj. RT,Abs Error
Quinine,C=C[C@H]1C[N@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,6.323,6.26,0.063
Enalapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,6.326,6.574,0.248
Spirotetramat-mono-hydroxy,CO[C@H]1CC[C@]2(CC1)NC(=O)C(c1cc(C)ccc1C)C2O,6.328,5.922,0.406
Chlortoluron,Cc1ccc(NC(=O)N(C)C)cc1Cl,6.333,5.652,0.681
Mefloquine,O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,6.335,7.441,1.106
Diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1,6.337,6.205,0.132
Propham,CC(C)OC(=O)Nc1ccccc1,6.354,5.164,1.19
1-naphtyl acetic acid,O=C(O)Cc1cccc2ccccc12,6.368,5.205,1.163
Valone,CC(C)CC(=O)C1C(=O)c2ccccc2C1=O,6.379,5.003,1.376
Carisoprodol,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,6.382,5.044,1.338
Cymiazole,Cc1ccc(/N=c2\sccn2C)c(C)c1,6.388,6.668,0.28
Haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,6.389,7.432,1.043
Heptabarbital,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,6.399,5.738,0.661
Zolazepam,Cc1nn(C)c2c1C(c1ccccc1F)=NCC(=O)N2C,6.419,6.883,0.464
PCMPA (N-(3-methoxypropyl)-1-phenyl-cyclohexanamine),COCCCNC1(c2ccccc2)CCCCC1,6.425,6.184,0.241
Diuron,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,6.433,6.15,0.283
Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,6.438,5.998,0.44
Fluvoxamine,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,6.44,5.8,0.64
Convallatoxin,C[C@@H]1O[C@@H](O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,6.443,6.525,0.082
Nifoxipam,O=C1Nc2ccc([N+](=O)[O-])cc2C(c2ccccc2F)=NC1O,6.445,6.673,0.228
Strophanthidin,C[C@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)CC[C@]34C=O)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1,6.448,7.305,0.857
Norfluoxetine,NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,6.466,6.101,0.365
Carbofuran,CNC(=O)Oc1cccc2c1OC(C)(C)C2,6.471,5.031,1.44
Piribedil,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,6.475,5.665,0.81
Quinidine,C=C[C@H]1C[N@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,6.488,6.26,0.228
Trifluorperidol,O=C(CCC(F)N1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1,6.491,7.506,1.015
Fenamiphos-sulfoxyde,CCOP(=O)(NC(C)C)Oc1ccc(S(C)=O)c(C)c1,6.493,8.141,1.648
Fotemustine,CCOP(=O)(OCC)C(C)NC(=O)N(CCCl)N=O,6.496,5.94,0.556
Thiacloprid,N#C/N=C1/SCCN1Cc1ccc(Cl)nc1,6.5,5.288,1.212
Desmethylmianserin,c1ccc2c(c1)Cc1ccccc1N1CCNCC21,6.514,5.128,1.386
Isoprocarb,CNC(=O)Oc1ccccc1C(C)C,6.516,5.241,1.275
Carbaryl,CNC(=O)Oc1cccc2ccccc12,6.527,5.49,1.037
Spirotetramat-enol,CO[C@H]1CC[C@]2(CC1)NC(=O)C(c1cc(C)ccc1C)=C2O,6.531,7.057,0.526
Clozapine,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,6.538,7.232,0.694
CDEPA,CCc1cccc(CC)c1NC(=O)CCl,6.54,6.86,0.32
Desacetyldiltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2O)cc1,6.544,7.612,1.068
Carbocromen,CCOC(=O)COc1ccc2c(C)c(CCN(CC)CC)c(=O)oc2c1,6.554,6.893,0.339
Atomoxetine,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,6.558,6.712,0.154
Doxepin,CN(C)CCC=C1c2ccccc2COc2ccccc21,6.561,7.402,0.841
Fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,6.57,6.916,0.346
Scoparone,COc1cc2ccc(=O)oc2cc1OC,6.588,5.33,1.258
PCEEA (N-(2-ethoxyethyl)-1-phenylcyclohexanamine),CCOCCNC1(c2ccccc2)CCCCC1,6.589,6.889,0.3
Benzthiazide,NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O,6.589,7.688,1.099
Azatadine,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,6.603,7.093,0.49
Dicoumarol,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,6.619,7.159,0.54
Fenamiphos-sulfone,CCOP(=O)(NC(C)C)Oc1ccc(S(C)(=O)=O)c(C)c1,6.624,8.163,1.539
Mepyramine,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,6.626,6.094,0.532
Demeton-s-methyl,CCSCCSP(=O)(OC)OC,6.641,5.51,1.131
Fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,6.646,7.835,1.189
Clobenzorex,CC(Cc1ccccc1)NCc1ccccc1Cl,6.649,6.763,0.114
Isoproturon,CC(C)c1ccc(NC(=O)N(C)C)cc1,6.671,5.499,1.172
Metopimazine,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,6.704,6.928,0.224
Erythromycine,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,6.711,8.037,1.326
Zipeprol,COC(CN1CCN(CC(O)C(OC)c2ccccc2)CC1)c1ccccc1,6.712,7.636,0.924
Desmetryn,CNc1nc(NC(C)C)nc(SC)n1,6.72,5.539,1.181
Ethiofencarb,CCSCc1ccccc1OC(=O)NC,6.721,5.943,0.778
Niflumic acid,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,6.73,5.539,1.191
Fluindione,O=C1c2ccccc2C(=O)C1c1ccc(F)cc1,6.731,6.35,0.381
Coumafuryl,CC(=O)CC(c1ccco1)c1c(O)c2ccccc2oc1=O,6.742,7.272,0.53
Cicletanine,Cc1ncc2c(c1O)CO[C@@H]2c1ccc(Cl)cc1,6.748,6.487,0.261
Phenyltoloxamine,CN(C)CCOc1ccccc1Cc1ccccc1,6.751,6.553,0.198
Metsulfuron-methyl,COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,6.76,7.688,0.928
Malaoxon,CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,6.761,6.733,0.028
Hydroquinidine,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,6.791,6.612,0.179
Thiophanate-methyl,COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,6.795,5.897,0.898
Procyclidine,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,6.797,5.78,1.017
Thiopental,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,6.807,5.79,1.017
Digoxigenine-bis-digitoxoside,CC1OC(OC2C(O)CC(OC3CCC4(C)C(CCC5C4CC(O)C4(C)C(C6=CC(=O)OC6)CCC54O)C3)OC2C)CC(O)C1O,6.82,7.202,0.382
Tolmetin,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,6.832,6.009,0.823
Risperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,6.839,7.685,0.846
Tertatolol,CC(C)(C)NCC(O)COc1cccc2c1SCCC2,6.858,5.121,1.737
Retigabine,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,6.864,6.285,0.579
Tauroursodeoxycholic acid,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,6.87,7.14,0.27
Flutamide,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,6.874,5.961,0.913
Bezafibrate,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,6.883,8.106,1.223
Omeprazole,COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,6.885,8.082,1.197
Flurazepam,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,6.898,7.74,0.842
Phencyclidine,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,6.906,5.747,1.159
Dextromethorphan,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,6.913,5.584,1.329
Florasulam,COc1ncc(F)c2nc(S(=O)(=O)Nc3c(F)cccc3F)nn12,6.915,5.844,1.071
"DEA (2,6-diethylaniline)",CCc1cccc(CC)c1N,6.934,5.405,1.529
Prednisolone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,6.938,6.424,0.514
Carboxin,CC1=C(C(=O)Nc2ccccc2)SCCO1,6.953,5.976,0.977
Mephospholan,CCOP(=O)(/N=C1\SCC(C)S1)OCC,6.961,5.95,1.011
Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,6.965,5.473,1.492
Biperidene,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,6.97,6.064,0.906
Benfluorex,CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1,6.989,6.955,0.034
Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,6.999,6.969,0.03
Oxyphenbutazone,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,7.005,7.448,0.443
Flumazenil,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,7.016,6.419,0.597
Deslanoside,C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3C[C@@H](O)[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1,7.018,7.228,0.21
Dextropropoxyphene,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,7.036,8.161,1.125
Hydrocortisone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,7.038,5.784,1.254
Demexiptiline,CNCCON=c1c2ccccc2ccc2ccccc12,7.045,7.689,0.644
Flutriafol,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,7.047,7.389,0.342
5-(p-Methylphenyl)-5-phenylhydantoin,Cc1ccc(C2(c3ccccc3)NC(=O)NC2=O)cc1,7.049,6.629,0.42
Mianserin,CN1CCN2c3ccccc3Cc3ccccc3C2C1,7.056,6.039,1.017
Propazine,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,7.059,5.595,1.464
Letrozole,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,7.064,5.857,1.207
Phenyl-2-phenol,Oc1ccccc1-c1ccccc1,7.079,5.89,1.189
Piretanide,NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,7.081,7.382,0.301
Triprolidine,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,7.084,7.004,0.08
4-fluoro-3-phenoxybenzoic acid,O=C(O)c1ccc(F)c(Oc2ccccc2)c1,7.091,5.46,1.631
Diphacinone,O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1,7.116,8.68,1.564
Linuron,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,7.118,6.653,0.465
Bumetanide,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,7.122,7.212,0.09
Fluanisone,COc1ccccc1N1CCN(CCCC(=O)c2ccc(F)cc2)CC1,7.126,7.834,0.708
Fenobucarb,CCC(C)c1ccccc1OC(=O)NC,7.128,5.678,1.45
Protriptyline,CNCCCC1c2ccccc2C=Cc2ccccc21,7.149,7.043,0.106
Benorilate,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,7.16,7.27,0.11
Trihexyphenidyl,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,7.168,6.287,0.881
Demoxepam,O=C1C[N+]([O-])=C(c2ccccc2)c2cc(Cl)ccc2N1,7.169,8.283,1.114
Flumethasone,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,7.17,6.986,0.184
Desipramine,CNCCCN1c2ccccc2CCc2ccccc21,7.174,6.72,0.454
Glafenine,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,7.181,6.759,0.422
Diothiepin,CN(C)CC/C=C1\c2ccccc2CSc2ccccc21,7.182,7.008,0.174
Bromazepam,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,7.19,6.516,0.674
Brefeldin A,C[C@H]1CCC/C=C/[C@@H]2C[C@H](O)C[C@H]2[C@H](O)/C=C/C(=O)O1,7.192,5.962,1.23
Didesmethylsibutramine,CC(C)CC(N)C1(c2ccc(Cl)cc2)CCC1,7.192,5.715,1.477
Clometacin,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,7.199,8.691,1.492
Promethazine,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,7.213,7.48,0.267
Bacampicilline,CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C,7.216,7.458,0.242
Desmethylflunitrazepam,O=C1CN=C(c2ccccc2)c2cc(F)ccc2N1,7.227,6.246,0.981
Buspirone,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,7.234,7.542,0.308
Colchicine,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,7.239,7.656,0.417
Desmethylsibutramine,CNC(CC(C)C)C1(c2ccc(Cl)cc2)CCC1,7.248,5.859,1.389
Terbumeton,CCNc1nc(NC(C)(C)C)nc(OC)n1,7.25,6.293,0.957
Spirotetramat-cis-keto-hydroxy,CO[C@H]1CC[C@]2(CC1)NC(=O)C(O)(c1cc(C)ccc1C)C2=O,7.254,6.832,0.422
Desmedipham,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,7.256,8.527,1.271
Voriconazole,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,7.267,6.239,1.028
Duloxetine,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,7.273,7.669,0.396
Chlorpropham,CC(C)OC(=O)Nc1cccc(Cl)c1,7.275,5.888,1.387
Terbuthylazine,CCNc1nc(Cl)nc(NC(C)(C)C)n1,7.289,6.5,0.789
Ciprofibrate,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,7.291,5.661,1.63
Naled,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,7.291,5.54,1.751
Amoxapine,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,7.292,7.646,0.354
Tianeptine MC (5),CN1c2ccccc2C(NCCCCC(=O)O)c2ccc(Cl)cc2S1([O-])[O-],7.293,6.935,0.358
Didesmethylamitriptyline,NCCC=C1c2ccccc2CCc2ccccc21,7.297,6.724,0.573
Amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,7.297,8.018,0.721
Ethoxyquin,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,7.298,6.489,0.809
Oxeladin,CCN(CC)CCOCCOC(=O)C(CC)(CC)c1ccccc1,7.302,6.709,0.593
Prednisone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,7.303,7.818,0.515
Piroxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,7.306,6.284,1.022
Nebivolol,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,7.307,5.685,1.622
Maprotiline,CNCCCC12CCC(c3ccccc31)c1ccccc12,7.31,6.392,0.918
Pirimicarb,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,7.322,6.423,0.899
Lorazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,7.33,7.373,0.043
N-desmethylclobazam,O=C1CC(=O)N(c2ccccc2)c2cc(Cl)ccc2N1,7.331,8.339,1.008
Zolpidem,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,7.346,8.622,1.276
Periciazine,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,7.35,6.485,0.865
Phenmediphan,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,7.355,8.217,0.862
Chlorbromuron,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,7.356,6.049,1.307
Rivaroxaban,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,7.367,6.976,0.391
Betamethasone,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,7.372,7.179,0.193
DEET,CCN(CC)C(=O)c1cccc(C)c1,7.374,6.138,1.236
Embutramide,CCC(CC)(CNC(=O)CCCO)c1cccc(OC)c1,7.378,6.45,0.928
Paraoxon ethyl,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,7.379,7.816,0.437
Flubendazole,COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1,7.384,6.554,0.83
Methfuroxam,Cc1oc(C)c(C(=O)Nc2ccccc2)c1C,7.386,6.832,0.554
Imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,7.39,6.754,0.636
Hydroxyzine,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,7.411,7.605,0.194
Nortriptyline,CNCCC=C1c2ccccc2CCc2ccccc21,7.411,7.238,0.173
EDDP,C/C=C1\N(C)C(C)CC1(c1ccccc1)c1ccccc1,7.417,7.158,0.259
Prifinium,CC[N+]1(CC)CCC(=C(c2ccccc2)c2ccccc2)C1C,7.428,7.774,0.346
Dimefuron,CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,7.436,9.134,1.698
Sibutramine,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,7.448,7.307,0.141
Amprenavir,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,7.453,6.513,0.94
Ketoprofen,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,7.454,6.18,1.274
Cortisone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,7.458,7.455,0.003
Buprenorphine,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,7.466,8.21,0.744
Chlorphenoxamine,CN(C)CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,7.476,7.993,0.517
3-hydroxy-flunitrazepam,CN1C(=O)C(O)N=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,7.492,7.504,0.012
Alimemazine,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,7.505,7.035,0.47
Thiometon,CCSCCSP(=S)(OC)OC,7.512,6.866,0.646
Norflurazon,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,7.514,6.643,0.871
Carvedilol,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,7.515,7.807,0.292
Oxazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,7.519,6.969,0.55
Methacrifos,COC(=O)/C(C)=C/OP(=S)(OC)OC,7.522,6.14,1.382
Prosulfuron,COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2CCC(F)(F)F)n1,7.522,8.019,0.497
Opipramol,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,7.523,8.509,0.986
Albendazole,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,7.526,5.875,1.651
Digoxine,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,7.538,7.765,0.227
Triadimenol,CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,7.541,7.045,0.496
Sufentanyl,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,7.541,8.101,0.56
Naproxene,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,7.544,6.099,1.445
Clonazepam,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,7.544,7.691,0.147
Fenthion sulfoxide,COP(=S)(OC)Oc1ccc(S(C)=O)c(C)c1,7.546,7.616,0.07
2-(2-amino-5-bromobenzoyl)pyridine,Nc1ccc(Br)cc1C(=O)c1ccccn1,7.548,5.878,1.67
Veratridine,COc1ccc(C(=O)O[C@H]2CC[C@@]3(C)[C@@H]4CC[C@H]5[C@]6(O)C[C@H](O)[C@@]7(O)[C@@H](CN8C[C@@H](C)CC[C@H]8[C@@]7(C)O)[C@]6(O)C[C@@]53O[C@]24O)cc1OC,7.549,6.666,0.883
Diethofencarb,CCOc1ccc(NC(=O)OC(C)C)cc1OCC,7.55,7.357,0.193
Spiroxamine,CCCN(CC)CC1COC2(CCC(C(C)(C)C)CC2)O1,7.551,7.303,0.248
Coumatetralyl,O=c1oc2ccccc2c(O)c1C1CCCc2ccccc21,7.552,6.742,0.81
Salmeterol,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,7.552,7.315,0.237
Lanatoside C,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,7.554,7.879,0.325
Fipronil,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,7.556,7.312,0.244
Propafenone,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,7.568,6.874,0.694
Nitrazepam,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,7.57,7.534,0.036
Amitriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,7.58,7.312,0.268
Azadirachtin,C/C=C(\C)C(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C(=O)OC)CO[C@H]3[C@@H](O)[C@@](C)([C@]45O[C@@]4(C)[C@H]4C[C@@H]5O[C@@H]5OC=C[C@@]54O)[C@H]4[C@]1(CO[C@]4(O)C(=O)OC)[C@@H]32,7.583,6.69,0.893
Dantrolene,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,7.592,6.769,0.823
Cyamemazine,CC(CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21,7.594,7.444,0.15
Trazodone,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,7.623,8.427,0.804
Benzatropine,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,7.625,6.761,0.864
Quetiapine,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,7.626,7.229,0.397
Darunavir,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,7.63,6.442,1.188
Cyproheptadine,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,7.636,9.336,1.7
Nifedipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],7.649,7.609,0.04
Fenthion sulfone,COP(=S)(OC)Oc1ccc(S(C)(=O)=O)c(C)c1,7.663,7.685,0.022
Acepromazine,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,7.666,6.444,1.222
Cilazapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCCN2CCC[C@@H](C(=O)O)N2C1=O,7.68,7.275,0.405
Captafol,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,7.683,6.701,0.982
Oxybutynin,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,7.691,7.013,0.678
Metazachlor,Cc1cccc(C)c1N(Cn1cccn1)C(=O)CCl,7.695,7.458,0.237
Foramsulfuron,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2cc(NC=O)ccc2C(=O)N(C)C)n1,7.695,8.573,0.878
Methiocarb,CNC(=O)Oc1cc(C)c(SC)c(C)c1,7.701,6.228,1.473
Sulforidazine,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21,7.711,7.42,0.291
Desalkylflurazepam,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1,7.72,6.331,1.389
Pyrimethanil,Cc1cc(C)nc(Nc2ccccc2)n1,7.727,7.034,0.693
Flurtamone,CNC1=C(c2cccc(C(F)(F)F)c2)C(=O)C(c2ccccc2)O1,7.727,8.188,0.461
Trimipramine,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,7.733,7.638,0.095
CGA321113 (Trifloxystrobin Metabolite),C/C(=N\OCc1ccccc1/C(=N\CO)C(=O)O)c1cccc(C(F)(F)F)c1,7.743,7.579,0.164
