Compound Name,SMILES,RT,Adj. RT,Abs Error
Cefotiam,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,3.535,4.215,0.68
Aldicarb-sulfoxide,CNC(=O)O/N=C/C(C)(C)S(C)=O,3.537,3.894,0.357
Cefpodoxime,COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,3.547,3.563,0.016
Hydroflumethiazide,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,3.553,3.813,0.26
Mescaline,COc1cc(CCN)cc(OC)c1OC,3.554,2.527,1.027
Cefixime,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,3.556,3.183,0.373
Amiphenazol,Nc1nc(N)c(-c2ccccc2)s1,3.572,4.567,0.995
Levetiracetam,CC[C@@H](C(N)=O)N1CCCC1=O,3.576,3.795,0.219
Metronidazole,Cc1ncc([N+](=O)[O-])n1CCO,3.584,3.42,0.164
Methiopropamine,CNC(C)Cc1cccs1,3.61,3.647,0.037
Methcathinone,CNC(C)C(=O)c1ccccc1,3.619,3.788,0.169
Ranitidine,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,3.624,5.201,1.577
Diacetolol,CC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,3.624,4.931,1.307
Phenysemicarbazide,NC(=O)NNc1ccccc1,3.625,3.028,0.597
Amphetamine,CC(N)Cc1ccccc1,3.632,2.788,0.844
Theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,3.636,3.472,0.164
5-IT (5-(2-Aminopropyl)indole),CC(N)Cc1ccc2[nH]ccc2c1,3.641,3.546,0.095
Methylephedrine,C[C@@H]([C@H](O)c1ccccc1)N(C)C,3.658,3.836,0.178
Aldoxycarb,CNC(=O)ON=CC(C)(C)S(C)(=O)=O,3.668,4.049,0.381
MDAI,NC1Cc2cc3c(cc2C1)OCO3,3.673,3.701,0.028
3-aminophenol,Nc1cccc(O)c1,3.692,2.234,1.458
Diprophylline,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,3.695,3.486,0.209
Procaine,CCN(CC)CCOC(=O)c1ccc(N)cc1,3.704,4.006,0.302
4-Fluoroamphetamine,CC(N)Cc1ccc(F)cc1,3.708,2.841,0.867
Theophylline,Cn1c(=O)c2[nH]cnc2n(C)c1=O,3.711,3.414,0.297
Flonicamid,N#CCNC(=O)c1cnccc1C(F)(F)F,3.72,3.914,0.194
Cefuroxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,3.733,4.029,0.296
Phenylpropylamine,CCCNc1ccccc1,3.75,4.222,0.472
Alizapride,C=CCN1CCCC1CNC(=O)c1cc2nn[nH]c2cc1OC,3.756,4.854,1.098
Tiapride,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,3.76,3.957,0.197
Cefalexin,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,3.764,3.346,0.418
Octen-3-ol,C=CC(O)CCCCC,3.765,2.957,0.808
Iproniazide,CC(C)NNC(=O)c1ccncc1,3.785,3.349,0.436
Scopolamine,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,3.814,3.822,0.008
Noroxycodone,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)NCC[C@]314,3.82,3.004,0.816
Naloxone,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,3.821,4.172,0.351
Aminorex,NC1=NCC(c2ccccc2)O1,3.837,3.297,0.54
Clonidine,Clc1cccc(Cl)c1NC1=NCCN1,3.837,4.4,0.563
o-desmethyltramadol,CN(C)CC1CCCCC1(O)c1cccc(O)c1,3.84,4.381,0.541
Thiamphenicol,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,3.857,4.245,0.388
Carteolol,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,3.857,5.544,1.687
6-Methoxysalicylic acid,COc1cccc(O)c1C(=O)O,3.861,2.47,1.391
Methamphetamine,CN[C@@H](C)Cc1ccccc1,3.863,3.416,0.447
Cefoxitin,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,3.863,5.525,1.662
Dihydrocodeine,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,3.869,4.354,0.485
Sulfadiazine,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,3.882,5.13,1.248
MDA,CC(N)Cc1ccc2c(c1)OCO2,3.89,3.759,0.131
Retrorsine,C/C=C1/C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,3.893,4.266,0.373
Codeine,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,3.901,3.536,0.365
Atrazine-desisopropyl,CCNc1nc(N)nc(Cl)n1,3.904,4.519,0.615
Nadolol,CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2,3.904,5.014,1.11
Captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,3.906,2.762,1.144
6-MAM,CC(=O)O[C@H]1C=C[C@H]2[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3C)[C@H]1O5,3.918,4.017,0.099
PMA (p-methoxyamphetamine),COc1ccc(CC(C)N)cc1,3.921,3.4,0.521
Cefradine,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,3.921,4.07,0.149
Barbital,CCC1(CC)C(=O)NC(=O)NC1=O,3.923,4.276,0.353
Cefazoline,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,3.924,3.293,0.631
Monocrotophos,CNC(=O)/C=C(\C)OP(=O)(OC)OC,3.926,4.229,0.303
6-acetylmorphine,CC(=O)O[C@H]1C=C[C@H]2[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3C)[C@H]1O5,3.933,4.017,0.084
Pindolol,CC(C)NCC(O)COc1cccc2[nH]ccc12,3.937,4.11,0.173
Veralipride,C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC,3.943,4.602,0.659
MHPC (Phenmediphan metabolite),COC(=O)Nc1cccc(O)c1,3.949,3.427,0.522
Benzylpiperazine,c1ccc(CN2CCNCC2)cc1,3.956,3.474,0.482
Atraton-desisopropyl,CCNc1nc(N)nc(OC)n1,3.961,4.261,0.3
Methylone,CNC(C)C(=O)c1ccc2c(c1)OCO2,3.98,4.257,0.277
Phentermine,CC(C)(N)Cc1ccccc1,3.98,4.272,0.292
Fenproporex,CC(Cc1ccccc1)NCCC#N,3.982,3.639,0.343
Naltrexone,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,3.994,4.227,0.233
Oxycodone,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,3.997,4.19,0.193
Perindoprilate,CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)O,4.013,4.556,0.543
Acetylsalicylic acid,CC(=O)Oc1ccccc1C(=O)O,4.02,3.636,0.384
