Compound Name,SMILES,RT (min)
Mephospholan,CCOP(=O)(/N=C1\SCC(C)S1)OCC,6.961
Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,6.965
Biperidene,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,6.97
Benfluorex,CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1,6.989
Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,6.999
Oxyphenbutazone,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,7.005
Flumazenil,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,7.016
Deslanoside,C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3C[C@@H](O)[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1,7.018
Dextropropoxyphene,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,7.036
Hydrocortisone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,7.038
Demexiptiline,CNCCON=c1c2ccccc2ccc2ccccc12,7.045
Flutriafol,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,7.047
5-(p-Methylphenyl)-5-phenylhydantoin,Cc1ccc(C2(c3ccccc3)NC(=O)NC2=O)cc1,7.049
Mianserin,CN1CCN2c3ccccc3Cc3ccccc3C2C1,7.056
Propazine,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,7.059
Letrozole,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,7.064
Phenyl-2-phenol,Oc1ccccc1-c1ccccc1,7.079
Piretanide,NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,7.081
Triprolidine,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,7.084
4-fluoro-3-phenoxybenzoic acid,O=C(O)c1ccc(F)c(Oc2ccccc2)c1,7.091
Diphacinone,O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1,7.116
Linuron,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,7.118
Bumetanide,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,7.122
Fluanisone,COc1ccccc1N1CCN(CCCC(=O)c2ccc(F)cc2)CC1,7.126
Fenobucarb,CCC(C)c1ccccc1OC(=O)NC,7.128
Protriptyline,CNCCCC1c2ccccc2C=Cc2ccccc21,7.149
Benorilate,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,7.16
Trihexyphenidyl,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,7.168
Demoxepam,O=C1C[N+]([O-])=C(c2ccccc2)c2cc(Cl)ccc2N1,7.169
Flumethasone,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,7.17
Desipramine,CNCCCN1c2ccccc2CCc2ccccc21,7.174
Glafenine,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,7.181
Diothiepin,CN(C)CC/C=C1\c2ccccc2CSc2ccccc21,7.182
Bromazepam,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,7.19
Brefeldin A,C[C@H]1CCC/C=C/[C@@H]2C[C@H](O)C[C@H]2[C@H](O)/C=C/C(=O)O1,7.192
Didesmethylsibutramine,CC(C)CC(N)C1(c2ccc(Cl)cc2)CCC1,7.192
Clometacin,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,7.199
Promethazine,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,7.213
Bacampicilline,CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C,7.216
Desmethylflunitrazepam,O=C1CN=C(c2ccccc2)c2cc(F)ccc2N1,7.227
Buspirone,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,7.234
Colchicine,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,7.239
Desmethylsibutramine,CNC(CC(C)C)C1(c2ccc(Cl)cc2)CCC1,7.248
Terbumeton,CCNc1nc(NC(C)(C)C)nc(OC)n1,7.25
Spirotetramat-cis-keto-hydroxy,CO[C@H]1CC[C@]2(CC1)NC(=O)C(O)(c1cc(C)ccc1C)C2=O,7.254
Desmedipham,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,7.256
Voriconazole,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,7.267
Duloxetine,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,7.273
Chlorpropham,CC(C)OC(=O)Nc1cccc(Cl)c1,7.275
Terbuthylazine,CCNc1nc(Cl)nc(NC(C)(C)C)n1,7.289
Ciprofibrate,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,7.291
Naled,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,7.291
Amoxapine,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,7.292
Tianeptine MC (5),CN1c2ccccc2C(NCCCCC(=O)O)c2ccc(Cl)cc2S1([O-])[O-],7.293
Didesmethylamitriptyline,NCCC=C1c2ccccc2CCc2ccccc21,7.297
Amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,7.297
Ethoxyquin,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,7.298
Oxeladin,CCN(CC)CCOCCOC(=O)C(CC)(CC)c1ccccc1,7.302
Prednisone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,7.303
Piroxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,7.306
Nebivolol,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,7.307
Maprotiline,CNCCCC12CCC(c3ccccc31)c1ccccc12,7.31
Pirimicarb,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,7.322
Lorazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,7.33
N-desmethylclobazam,O=C1CC(=O)N(c2ccccc2)c2cc(Cl)ccc2N1,7.331
Zolpidem,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,7.346
Periciazine,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,7.35
Phenmediphan,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,7.355
Chlorbromuron,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,7.356
Rivaroxaban,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,7.367
Betamethasone,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,7.372
DEET,CCN(CC)C(=O)c1cccc(C)c1,7.374
Embutramide,CCC(CC)(CNC(=O)CCCO)c1cccc(OC)c1,7.378
Paraoxon ethyl,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,7.379
Flubendazole,COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1,7.384
Methfuroxam,Cc1oc(C)c(C(=O)Nc2ccccc2)c1C,7.386
Imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,7.39
Hydroxyzine,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,7.411
Nortriptyline,CNCCC=C1c2ccccc2CCc2ccccc21,7.411
EDDP,C/C=C1\N(C)C(C)CC1(c1ccccc1)c1ccccc1,7.417
Prifinium,CC[N+]1(CC)CCC(=C(c2ccccc2)c2ccccc2)C1C,7.428
Dimefuron,CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,7.436
Sibutramine,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,7.448
Amprenavir,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,7.453
Ketoprofen,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,7.454
Cortisone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,7.458
Buprenorphine,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,7.466
Chlorphenoxamine,CN(C)CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,7.476
3-hydroxy-flunitrazepam,CN1C(=O)C(O)N=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,7.492
Alimemazine,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,7.505
Thiometon,CCSCCSP(=S)(OC)OC,7.512
Norflurazon,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,7.514
Carvedilol,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,7.515
Oxazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,7.519
Methacrifos,COC(=O)/C(C)=C/OP(=S)(OC)OC,7.522
Prosulfuron,COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2CCC(F)(F)F)n1,7.522
Opipramol,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,7.523
Albendazole,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,7.526
Digoxine,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,7.538
Triadimenol,CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,7.541
Sufentanyl,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,7.541
Naproxene,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,7.544
Clonazepam,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,7.544
Fenthion sulfoxide,COP(=S)(OC)Oc1ccc(S(C)=O)c(C)c1,7.546
2-(2-amino-5-bromobenzoyl)pyridine,Nc1ccc(Br)cc1C(=O)c1ccccn1,7.548
Veratridine,COc1ccc(C(=O)O[C@H]2CC[C@@]3(C)[C@@H]4CC[C@H]5[C@]6(O)C[C@H](O)[C@@]7(O)[C@@H](CN8C[C@@H](C)CC[C@H]8[C@@]7(C)O)[C@]6(O)C[C@@]53O[C@]24O)cc1OC,7.549
Diethofencarb,CCOc1ccc(NC(=O)OC(C)C)cc1OCC,7.55
Spiroxamine,CCCN(CC)CC1COC2(CCC(C(C)(C)C)CC2)O1,7.551
Coumatetralyl,O=c1oc2ccccc2c(O)c1C1CCCc2ccccc21,7.552
Salmeterol,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,7.552
Lanatoside C,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,7.554
Fipronil,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,7.556
Propafenone,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,7.568
Nitrazepam,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,7.57
Amitriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,7.58
Azadirachtin,C/C=C(\C)C(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C(=O)OC)CO[C@H]3[C@@H](O)[C@@](C)([C@]45O[C@@]4(C)[C@H]4C[C@@H]5O[C@@H]5OC=C[C@@]54O)[C@H]4[C@]1(CO[C@]4(O)C(=O)OC)[C@@H]32,7.583
Dantrolene,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,7.592
Cyamemazine,CC(CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21,7.594
Trazodone,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,7.623
Benzatropine,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,7.625
Quetiapine,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,7.626
Darunavir,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,7.63
Cyproheptadine,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,7.636
Nifedipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],7.649
Fenthion sulfone,COP(=S)(OC)Oc1ccc(S(C)(=O)=O)c(C)c1,7.663
Acepromazine,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,7.666
Cilazapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCCN2CCC[C@@H](C(=O)O)N2C1=O,7.68
Captafol,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,7.683
Oxybutynin,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,7.691
Metazachlor,Cc1cccc(C)c1N(Cn1cccn1)C(=O)CCl,7.695
Foramsulfuron,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2cc(NC=O)ccc2C(=O)N(C)C)n1,7.695
Methiocarb,CNC(=O)Oc1cc(C)c(SC)c(C)c1,7.701
Sulforidazine,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21,7.711
Desalkylflurazepam,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1,7.72
Pyrimethanil,Cc1cc(C)nc(Nc2ccccc2)n1,7.727
Flurtamone,CNC1=C(c2cccc(C(F)(F)F)c2)C(=O)C(c2ccccc2)O1,7.727
Trimipramine,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,7.733
CGA321113 (Trifloxystrobin Metabolite),C/C(=N\OCc1ccccc1/C(=N\CO)C(=O)O)c1cccc(C(F)(F)F)c1,7.743
alpha-hydroxytriazolam,OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,7.749
Altretamine,CN(C)c1nc(N(C)C)nc(N(C)C)n1,7.759
Ramipril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,7.77
"2,4-DB",O=C(O)CCCOc1ccc(Cl)cc1Cl,7.771
Quinupramine,c1ccc2c(c1)CCc1ccccc1N2C1CN2CCC1CC2,7.781
Aceprometazine,CC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,7.791
Metalaxyl,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,7.793
Mesoridazine,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,7.794
Demeton-s,CCOP(=O)(OCC)SCCSCC,7.8
Nuarimol,Oc1ncncc1C(c1ccc(F)cc1)c1ccccc1Cl,7.811
4-hydroxymidazolam,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2O,7.811
Diltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,7.832
Acenocoumarol,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,7.84
Digitoxigenin,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,7.844
Desmethylsertraline,N[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,7.858
Benazepril,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,7.867
Azaconazole,Clc1ccc(C2(Cn3cncn3)OCCO2)c(Cl)c1,7.87
Desmethylclomipramine,CNCCCN1c2ccccc2CCc2ccc(Cl)cc21,7.87
Fluopyram,O=C(NCCc1ncc(C(F)(F)F)cc1Cl)c1ccccc1C(F)(F)F,7.873
Pipotiazine,CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,7.876
Pimethixene,CN1CCC(=C2c3ccccc3Sc3ccccc32)CC1,7.878
Clonazolam,Cc1nnc2n1-c1ccc([N+](=O)[O-])cc1C(c1ccccc1Cl)=NC2,7.892
Levomepromazine,COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2,7.894
Triflupromazine,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,7.894
Edoxaban,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,7.907
Etodolac,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,7.907
Methaqualone,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,7.911
Clomazon,CC1(C)CON(Cc2ccccc2Cl)C1=O,7.918
Hydroxyalprazolam,OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,7.92
Cyproconazole,CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,7.928
Flubromazepam,O=C1CN=C(c2ccccc2F)c2cc(Br)ccc2N1,7.93
Fentichlor,Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O,7.932
Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,7.934
Fipronil sulfone,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)(=O)C(F)(F)F,7.937
Flazasulfuron,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2ncccc2C(F)(F)F)n1,7.957
Pimozide,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,7.968
Chlorantraniprole,CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,7.968
Sertraline,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,7.985
Neburon,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,7.986
Cetirizine,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,7.989
Febarbamate,CCCCOCC(CN1C(=O)NC(=O)C(CC)(c2ccccc2)C1=O)OC(N)=O,7.993
Quinapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,7.995
Folpet,O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,7.996
Chlordiazepoxide,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,7.997
Sulfosulfuron,CCS(=O)(=O)c1nc2ccccn2c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,7.998
Dihydroergotamine,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,8.011
Fenhexamid,CC1(C(=O)Nc2ccc(O)c(Cl)c2Cl)CCCCC1,8.018
Chlorpromazine,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,8.019
Meclonazepam,C[C@@H]1N=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=O,8.022
Methadone,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,8.022
Tiagabine,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C,8.025
Triadimefon,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,8.032
Glipizide,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,8.039
Phenylbutazone,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,8.055
Fentin,[OH][Sn]([c]1ccccc1)([c]1ccccc1)[c]1ccccc1,8.078
Myclobutanil,CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1,8.079
Clomipramine,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,8.079
Loxapine,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,8.085
Tetraconazole,FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl,8.103
Terbutryn,CCNc1nc(NC(C)(C)C)nc(SC)n1,8.103
Glibornuride,Cc1ccc(S(=O)(=O)NC(=O)N[C@H]2[C@H]3CC[C@@](C)([C@H]2O)C3(C)C)cc1,8.127
Sulindac,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1,8.13
1-hydroxymidazolam,OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,8.132
Mequitazine,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,8.139
Floctafenin,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12,8.162
Clobazam,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,8.188
Nordiazepam,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,8.193
Acetyldigoxin,CC(=O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@@H]1C,8.199
Betamethasone-21-acetate,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,8.212
Tianeptine,CN1c2ccccc2C(NCCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O,8.216
Oxetorone,CN(C)CC/C=C1\c2ccccc2OCc2c1oc1ccccc21,8.233
Penfluridol,OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,8.249
Alfentanil,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,8.253
Methoxyfenozide,COc1cccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1C,8.257
Nicardipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,8.26
Boscalid,O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl,8.269
Isradipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,8.27
Diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,8.284
Methyl digitoxin,COC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C,8.291
Tropatepine,CN1[C@@H]2CC[C@H]1C/C(=C1\c3ccccc3CSc3ccccc31)C2,8.293
Flunitrazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,8.32
Lormetazepam,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,8.326
Naftidrofuryl,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,8.328
Dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,8.335
Trimebutine,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,8.344
Dinoterb,CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,8.351
Clemastine,CN1CCC[C@@H]1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,8.352
Methidathion,COc1nn(CSP(=S)(OC)OC)c(=O)s1,8.369
Coumachlore,CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,8.38
Estazolam,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,8.385
Hexaconazole,CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,8.4
Tebuconazole,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,8.422
Fenarimol,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,8.431
Amphotericine B,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,8.435
Triazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,8.437
Fluphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,8.454
Fenpropimorph,CC(Cc1ccc(C(C)(C)C)cc1)CN1CC(C)OC(C)C1,8.456
Diflubenzuron,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,8.465
Temazepam,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,8.468
Etoxazole,CCOc1cc(C(C)(C)C)ccc1C1COC(c2c(F)cccc2F)=N1,8.475
Mesosulfuron-methyl,COC(=O)c1ccc(CNS(C)(=O)=O)cc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,8.479
Clofibrate,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,8.482
Thiodicarb,CS/C(C)=N/OC(=O)N(C)SN(C)C(=O)O/N=C(\C)SC,8.488
Imazalil,C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,8.489
