Compound Name,SMILES,RT (min)
5-IT (5-(2-Aminopropyl)indole),CC(N)Cc1ccc2[nH]ccc2c1,3.641
Methylephedrine,C[C@@H]([C@H](O)c1ccccc1)N(C)C,3.658
Aldoxycarb,CNC(=O)ON=CC(C)(C)S(C)(=O)=O,3.668
MDAI,NC1Cc2cc3c(cc2C1)OCO3,3.673
3-aminophenol,Nc1cccc(O)c1,3.692
Diprophylline,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,3.695
Procaine,CCN(CC)CCOC(=O)c1ccc(N)cc1,3.704
4-Fluoroamphetamine,CC(N)Cc1ccc(F)cc1,3.708
Theophylline,Cn1c(=O)c2[nH]cnc2n(C)c1=O,3.711
Flonicamid,N#CCNC(=O)c1cnccc1C(F)(F)F,3.72
Cefuroxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,3.733
Phenylpropylamine,CCCNc1ccccc1,3.75
Alizapride,C=CCN1CCCC1CNC(=O)c1cc2nn[nH]c2cc1OC,3.756
Tiapride,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,3.76
Cefalexin,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,3.764
Octen-3-ol,C=CC(O)CCCCC,3.765
Iproniazide,CC(C)NNC(=O)c1ccncc1,3.785
Scopolamine,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,3.814
Noroxycodone,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)NCC[C@]314,3.82
Naloxone,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,3.821
Aminorex,NC1=NCC(c2ccccc2)O1,3.837
Clonidine,Clc1cccc(Cl)c1NC1=NCCN1,3.837
o-desmethyltramadol,CN(C)CC1CCCCC1(O)c1cccc(O)c1,3.84
Thiamphenicol,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,3.857
Carteolol,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,3.857
6-Methoxysalicylic acid,COc1cccc(O)c1C(=O)O,3.861
Methamphetamine,CN[C@@H](C)Cc1ccccc1,3.863
Cefoxitin,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,3.863
Dihydrocodeine,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,3.869
Sulfadiazine,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,3.882
MDA,CC(N)Cc1ccc2c(c1)OCO2,3.89
Retrorsine,C/C=C1/C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,3.893
Codeine,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,3.901
Atrazine-desisopropyl,CCNc1nc(N)nc(Cl)n1,3.904
Nadolol,CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2,3.904
Captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,3.906
6-MAM,CC(=O)O[C@H]1C=C[C@H]2[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3C)[C@H]1O5,3.918
PMA (p-methoxyamphetamine),COc1ccc(CC(C)N)cc1,3.921
Cefradine,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,3.921
Barbital,CCC1(CC)C(=O)NC(=O)NC1=O,3.923
Cefazoline,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,3.924
Monocrotophos,CNC(=O)/C=C(\C)OP(=O)(OC)OC,3.926
6-acetylmorphine,CC(=O)O[C@H]1C=C[C@H]2[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3C)[C@H]1O5,3.933
Pindolol,CC(C)NCC(O)COc1cccc2[nH]ccc12,3.937
Veralipride,C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC,3.943
MHPC (Phenmediphan metabolite),COC(=O)Nc1cccc(O)c1,3.949
Benzylpiperazine,c1ccc(CN2CCNCC2)cc1,3.956
Atraton-desisopropyl,CCNc1nc(N)nc(OC)n1,3.961
Methylone,CNC(C)C(=O)c1ccc2c(c1)OCO2,3.98
Phentermine,CC(C)(N)Cc1ccccc1,3.98
Fenproporex,CC(Cc1ccccc1)NCCC#N,3.982
Naltrexone,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,3.994
Oxycodone,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,3.997
Perindoprilate,CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)O,4.013
Acetylsalicylic acid,CC(=O)Oc1ccccc1C(=O)O,4.02
Buphedrone,CCC(NC)C(=O)c1ccccc1,4.022
Ouabaine,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,4.025
Oxamyl,CNC(=O)O/N=C(\SC)C(=O)N(C)C,4.037
Trimethoprime,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,4.038
2-amino-5-chloropyridine,Nc1ccc(Cl)cn1,4.045
Ampicilline,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,4.056
Nicorandil,O=C(NCCO[N+](=O)[O-])c1cccnc1,4.07
Bentazone,CC(C)N1C(=O)c2ccccc2NS1(=O)=O,4.076
Zidovudine,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,4.108
Fluroxypyr,Nc1c(Cl)c(F)nc(OCC(=O)O)c1Cl,4.116
MDMA,CNC(C)Cc1ccc2c(c1)OCO2,4.119
Amrinone,Nc1cc(-c2ccncc2)c[nH]c1=O,4.123
Eserine,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,4.128
Oxydemeton-methyl,CCS(=O)CCSP(=O)(OC)OC,4.143
PMMA (para-Methoxy-N-methylamphetamine),CNC(C)Cc1ccc(OC)cc1,4.146
Hydrocodone,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,4.152
Methomyl,CNC(=O)ON=C(C)SC,4.155
THPI,O=C1NC(=O)C2CC=CCC12,4.176
Oxitropium,CC[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,4.179
Cefapirine,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1,4.191
Lidocaine,CCN(CC)CC(=O)Nc1c(C)cccc1C,4.192
Desmethylvenlafaxine,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,4.194
Levamisole,c1ccc([C@H]2CN3CCSC3=N2)cc1,4.216
Rilmenidine,C1COC(NC(C2CC2)C2CC2)=N1,4.216
Nor-cisapride,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCNC[C@@H]1OC,4.228
Trichlorfon,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,4.243
Mepivacaine,Cc1cccc(C)c1NC(=O)C1CCCCN1C,4.25
Amantadine,NC12CC3CC(CC(C3)C1)C2,4.256
Ritalinic acid,O=C(O)C(c1ccccc1)C1CCCCN1,4.262
Azathioprine,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,4.264
Atropine,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,4.267
Sultopride,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)ccc1OC,4.267
